match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Hugo Bueno,Wolverhampton Wanderers,West Ham United,0.5,19,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Saheed Olagunju,NA,NA,0.5,17,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Mateus Fernandes,Southampton,Wolverhampton Wanderers,0.5,6.5,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Max Kilman,NA,NA,0.5,21,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Luis Guilherme,West Ham United,Wolverhampton Wanderers,0.5,8,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Crysencio Summerville,West Ham United,Wolverhampton Wanderers,0.5,4,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Jo<c3><a3>o Gomes,NA,NA,0.5,8.5,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Ezra Mayers,NA,NA,0.5,29,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,David Moller Wolfe,NA,NA,0.5,19,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Mateus Mane,NA,NA,0.5,3.6,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Jackson Tchatchoua,NA,NA,0.5,19,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Tomas Soucek,NA,NA,0.5,4.6,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Luke Rawlings,NA,NA,0.5,15,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Hwang Hee-chan,NA,NA,0.5,3.6,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Konstantinos Mavropanos,West Ham United,Wolverhampton Wanderers,0.5,21,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Enso Gonzalez,NA,NA,0.5,6,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Callum Marshall,West Ham United,Wolverhampton Wanderers,0.5,4,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Elliot Anderson,Nottingham Forest,Aston Villa,1.5,91,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Arnaud Kalimuendo,NA,NA,1.5,29,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,James McAtee,Manchester City,Aston Villa,1.5,46,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Harvey Elliott,Liverpool,Aston Villa,1.5,41,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Andres Garcia,NA,NA,1.5,176,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Dilane Bakwa,NA,NA,1.5,61,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Nicolo Savona,NA,NA,1.5,151,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Ezri Konsa,Aston Villa,Nottingham Forest,1.5,201,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Lamare Bogarde,Aston Villa,Nottingham Forest,1.5,176,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Dan Ndoye,Nottingham Forest,Aston Villa,1.5,61,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Nicol<c3><a1>s Dom<c3><ad>nguez,NA,NA,1.5,101,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Ollie Watkins,Aston Villa,Nottingham Forest,1.5,9.5,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,John McGinn,Aston Villa,Nottingham Forest,1.5,56,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Neco Williams,Nottingham Forest,Aston Villa,1.5,151,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Morgan Gibbs-White,Nottingham Forest,Aston Villa,1.5,34,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Boubacar Kamara,Aston Villa,Nottingham Forest,1.5,176,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,George Hemmings,NA,NA,1.5,91,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Matthew Cash,NA,NA,1.5,81,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Jimmy Sinclair,NA,NA,1.5,91,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Jadon Sancho,Manchester United,Aston Villa,1.5,29,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Ian Maatsen,Aston Villa,Nottingham Forest,1.5,126,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Archie Whitehall,NA,NA,1.5,126,Neds
Aston Villa v Nottingham Forest,Aston Villa,Nottingham Forest,Player Goals,Nikola Milenkovi<c4><87>,NA,NA,1.5,201,Neds
