match,home_team,away_team,market_name,team,line,over_price,under_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_under
Manchester City v Manchester United,Manchester City,Manchester United,Team Goals,Manchester City,0.5,1.08,6.55,Sportsbet,49,289,14323475,524446299,2494054594,2494054595
Manchester City v Manchester United,Manchester City,Manchester United,Team Goals,Manchester City,1.5,1.56,2.26,Sportsbet,49,289,14323475,524446300,2494054596,2494054597
Manchester City v Manchester United,Manchester City,Manchester United,Team Goals,Manchester City,2.5,2.89,1.35,Sportsbet,49,289,14323475,524446301,2494054598,2494054599
Manchester City v Manchester United,Manchester City,Manchester United,Team Goals,Manchester City,3.5,6.4,1.08,Sportsbet,49,289,14323475,524446302,2494054600,2494054601
Manchester City v Manchester United,Manchester City,Manchester United,Team Goals,Manchester United,0.5,1.31,3.12,Sportsbet,49,289,14323475,524446360,2494054381,2494054382
Manchester City v Manchester United,Manchester City,Manchester United,Team Goals,Manchester United,1.5,2.66,1.41,Sportsbet,49,289,14323475,524446361,2494054383,2494054384
Manchester City v Manchester United,Manchester City,Manchester United,Team Goals,Manchester United,2.5,7,1.07,Sportsbet,49,289,14323475,524446362,2494054385,2494054386
Manchester City v Manchester United,Manchester City,Manchester United,Team Goals,Manchester United,3.5,22,1.01,Sportsbet,49,289,14323475,524446363,2494054387,2494054388
Manchester United v Chelsea,Manchester United,Chelsea,Team Goals,Chelsea,0.5,1.17,4.35,Sportsbet,49,289,14361167,525854940,2501041963,2501041964
Manchester United v Chelsea,Manchester United,Chelsea,Team Goals,Chelsea,1.5,1.99,1.72,Sportsbet,49,289,14361167,525854941,2501041965,2501041966
Manchester United v Chelsea,Manchester United,Chelsea,Team Goals,Chelsea,2.5,4.4,1.16,Sportsbet,49,289,14361167,525854942,2501041967,2501041968
Manchester United v Chelsea,Manchester United,Chelsea,Team Goals,Chelsea,3.5,11.3,1.03,Sportsbet,49,289,14361167,525854943,2501041969,2501041970
Manchester United v Chelsea,Manchester United,Chelsea,Team Goals,Manchester United,0.5,1.19,3.98,Sportsbet,49,289,14361167,525854899,2501041776,2501041777
Manchester United v Chelsea,Manchester United,Chelsea,Team Goals,Manchester United,1.5,2.13,1.63,Sportsbet,49,289,14361167,525854900,2501041778,2501041779
