match,home_team,away_team,market_name,line,over_price,under_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_under
Manchester City v Tottenham Hotspur,Manchester City,Tottenham Hotspur,Match Goals,1.5,1.09,6.5,Sportsbet,49,289,12931200,462081987,2235074340,2235074339
Manchester City v Tottenham Hotspur,Manchester City,Tottenham Hotspur,Match Goals,3.5,1.88,1.85,Sportsbet,49,289,12931200,462082005,2235073983,2235074382
Manchester City v Tottenham Hotspur,Manchester City,Tottenham Hotspur,Match Goals,2.5,1.34,3.08,Sportsbet,49,289,12931200,462082002,2235074377,2235074376
Manchester City v Tottenham Hotspur,Manchester City,Tottenham Hotspur,Match Goals,4.5,3.18,1.33,Sportsbet,49,289,12931200,462082007,2235073987,2235073986
Manchester City v Tottenham Hotspur,Manchester City,Tottenham Hotspur,Match Goals,5.5,5.2,1.14,Sportsbet,49,289,12931200,462082010,2235073993,2235073992
Manchester City v Tottenham Hotspur,Manchester City,Tottenham Hotspur,Match Goals,6.5,9.5,1.04,Sportsbet,49,289,12931200,462081883,2235074006,2235074005
Manchester City v Tottenham Hotspur,Manchester City,Tottenham Hotspur,Match Goals,7.5,14,1.01,Sportsbet,49,289,12931200,462081967,2235074454,2235074453
Southampton v Liverpool,Southampton,Liverpool,Match Goals,0.5,1.01,22,Sportsbet,49,289,12931181,462079291,2235064616,2235064615
Southampton v Liverpool,Southampton,Liverpool,Match Goals,1.5,1.11,6,Sportsbet,49,289,12931181,462079293,2235064620,2235064619
Southampton v Liverpool,Southampton,Liverpool,Match Goals,2.5,1.42,2.74,Sportsbet,49,289,12931181,462079321,2235064636,2235064635
Southampton v Liverpool,Southampton,Liverpool,Match Goals,3.5,2.08,1.7,Sportsbet,49,289,12931181,462079323,2235064640,2235064639
Southampton v Liverpool,Southampton,Liverpool,Match Goals,4.5,3.5,1.28,Sportsbet,49,289,12931181,462079325,2235064644,2235064643
Southampton v Liverpool,Southampton,Liverpool,Match Goals,5.5,6,1.11,Sportsbet,49,289,12931181,462079327,2235064648,2235064647
Southampton v Liverpool,Southampton,Liverpool,Match Goals,6.5,10,1.03,Sportsbet,49,289,12931181,462079329,2235064652,2235064651
Southampton v Liverpool,Southampton,Liverpool,Match Goals,7.5,15,1.005,Sportsbet,49,289,12931181,462079424,2235065257,2235065256
Ipswich Town v Manchester United,Ipswich Town,Manchester United,Match Goals,0.5,1.02,16.25,Sportsbet,49,289,12931201,462081709,2235073424,2235073423
Ipswich Town v Manchester United,Ipswich Town,Manchester United,Match Goals,1.5,1.14,5.2,Sportsbet,49,289,12931201,462081711,2235073428,2235073427
Ipswich Town v Manchester United,Ipswich Town,Manchester United,Match Goals,3.5,2.26,1.59,Sportsbet,49,289,12931201,462081721,2235073448,2235073447
Ipswich Town v Manchester United,Ipswich Town,Manchester United,Match Goals,2.5,1.51,2.45,Sportsbet,49,289,12931201,462081719,2235073444,2235073443
Ipswich Town v Manchester United,Ipswich Town,Manchester United,Match Goals,4.5,4,1.22,Sportsbet,49,289,12931201,462081723,2235073452,2235073451
Ipswich Town v Manchester United,Ipswich Town,Manchester United,Match Goals,5.5,6.5,1.08,Sportsbet,49,289,12931201,462081725,2235073456,2235073455
Ipswich Town v Manchester United,Ipswich Town,Manchester United,Match Goals,6.5,12,1.02,Sportsbet,49,289,12931201,462081727,2235073460,2235073459
Ipswich Town v Manchester United,Ipswich Town,Manchester United,Match Goals,7.5,34,1.005,Sportsbet,49,289,12931201,462081667,2235073160,2235073159
Newcastle United v West Ham United,Newcastle United,West Ham United,Match Goals,0.5,1.02,15,Sportsbet,49,289,12931212,462082606,2235077068,2235077067
Newcastle United v West Ham United,Newcastle United,West Ham United,Match Goals,1.5,1.17,4.65,Sportsbet,49,289,12931212,462082669,2235077086,2235077085
Newcastle United v West Ham United,Newcastle United,West Ham United,Match Goals,3.5,2.45,1.51,Sportsbet,49,289,12931212,462082615,2235076735,2235076734
Newcastle United v West Ham United,Newcastle United,West Ham United,Match Goals,2.5,1.57,2.31,Sportsbet,49,289,12931212,462082684,2235076723,2235076722
Newcastle United v West Ham United,Newcastle United,West Ham United,Match Goals,4.5,4.6,1.17,Sportsbet,49,289,12931212,462082619,2235076886,2235076885
Newcastle United v West Ham United,Newcastle United,West Ham United,Match Goals,5.5,8,1.06,Sportsbet,49,289,12931212,462082623,2235077206,2235077205
Newcastle United v West Ham United,Newcastle United,West Ham United,Match Goals,6.5,13,1.01,Sportsbet,49,289,12931212,462082630,2235077222,2235077221
Newcastle United v West Ham United,Newcastle United,West Ham United,Match Goals,7.5,41,1.002,Sportsbet,49,289,12931212,462082660,2235077177,2235077176
Brighton & Hove Albion v Southampton,Brighton & Hove Albion,Southampton,Match Goals,0.5,1.02,15.75,Sportsbet,49,289,12963227,463330661,2240502872,2240502871
Brighton & Hove Albion v Southampton,Brighton & Hove Albion,Southampton,Match Goals,1.5,1.15,5,Sportsbet,49,289,12963227,463330668,2240502886,2240502885
Brighton & Hove Albion v Southampton,Brighton & Hove Albion,Southampton,Match Goals,3.5,2.44,1.51,Sportsbet,49,289,12963227,463330734,2240502910,2240502909
Brighton & Hove Albion v Southampton,Brighton & Hove Albion,Southampton,Match Goals,2.5,1.55,2.34,Sportsbet,49,289,12963227,463330676,2240502902,2240502901
Brighton & Hove Albion v Southampton,Brighton & Hove Albion,Southampton,Match Goals,4.5,4.6,1.17,Sportsbet,49,289,12963227,463330738,2240502937,2240502936
Brighton & Hove Albion v Southampton,Brighton & Hove Albion,Southampton,Match Goals,5.5,7.75,1.06,Sportsbet,49,289,12963227,463330742,2240502476,2240502475
Brighton & Hove Albion v Southampton,Brighton & Hove Albion,Southampton,Match Goals,6.5,13,1.01,Sportsbet,49,289,12963227,463330745,2240502482,2240502481
Brighton & Hove Albion v Southampton,Brighton & Hove Albion,Southampton,Match Goals,7.5,41,1.002,Sportsbet,49,289,12963227,463330752,2240502498,2240502497
Nottingham Forest v Ipswich Town,Nottingham Forest,Ipswich Town,Match Goals,0.5,1.02,15.5,Sportsbet,49,289,12963191,463326337,2240486592,2240486591
Nottingham Forest v Ipswich Town,Nottingham Forest,Ipswich Town,Match Goals,1.5,1.14,5.2,Sportsbet,49,289,12963191,463326339,2240486596,2240486595
Nottingham Forest v Ipswich Town,Nottingham Forest,Ipswich Town,Match Goals,2.5,1.55,2.35,Sportsbet,49,289,12963191,463326347,2240486612,2240486611
Nottingham Forest v Ipswich Town,Nottingham Forest,Ipswich Town,Match Goals,3.5,2.42,1.52,Sportsbet,49,289,12963191,463326349,2240486616,2240486615
Nottingham Forest v Ipswich Town,Nottingham Forest,Ipswich Town,Match Goals,4.5,4.6,1.17,Sportsbet,49,289,12963191,463326351,2240486620,2240486619
Nottingham Forest v Ipswich Town,Nottingham Forest,Ipswich Town,Match Goals,5.5,7.75,1.06,Sportsbet,49,289,12963191,463326353,2240486624,2240486623
