match,start_time,market_name,home_team,away_team,player_name,player_team,opposition_team,line,over_price,agency
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Diogo Dalot,Manchester United,Burnley,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Hannibal Mejbri,NA,NA,0.5,8,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Hannibal Mejbri,NA,NA,1.5,101,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Hannibal Mejbri,NA,NA,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Harry Maguire,Manchester United,Burnley,0.5,6,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Harry Maguire,Manchester United,Burnley,1.5,51,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Harry Maguire,Manchester United,Burnley,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Hjalmar Ekdal,NA,NA,0.5,17,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Hjalmar Ekdal,NA,NA,1.5,301,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Hjalmar Ekdal,NA,NA,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Jacob Bruun Larsen,NA,NA,0.5,4.25,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Jacob Bruun Larsen,NA,NA,1.5,26,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Jacob Bruun Larsen,NA,NA,2.5,201,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Jaidon Anthony,NA,NA,0.5,4.75,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Jaidon Anthony,NA,NA,1.5,34,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Jaidon Anthony,NA,NA,2.5,301,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Joe Worrall,NA,NA,0.5,21,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Joe Worrall,NA,NA,1.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Joe Worrall,NA,NA,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Josh Cullen,NA,NA,0.5,15,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Josh Cullen,NA,NA,1.5,301,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Josh Cullen,NA,NA,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Josh Laurent,NA,NA,0.5,7,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Josh Laurent,NA,NA,1.5,81,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Josh Laurent,NA,NA,2.5,401,TAB
